title,release year,genre,key words,plot,run time /min,number of votes,rating
Shirley,2011,Biography|Drama,character-name-as-title|forename-as-title|shirley-bassey-character|baby|film-producer|illegitimate-daughter|mixed-race|homosexual|singing|working-class|tv-interview|glasgow-scotland|saying-goodbye|rags-to-riches|singing-audition|17-year-old|childhood-flashback|flashback|pub|gramophone|child-molester|1960s|moving-in|sister-sister-relationship|posing-for-a-photograph|film-projector|rising-star|show-business|stardom|pregnancy|younger-version-of-character|sex-offender|illegitimate-child|husband-wife-relationship|mixed-race-child|1930s|gay-man|marriage|gay-man-marries-woman|biracial|biracial-child|mother-child-separation|secret-child|scandal|stage|stage-performance|arrest|pier|1950s|engagement|mother-daughter-estrangement|happy-birthday-to-you|family-relationships|unwed-mother|teenage-mother|estranged-mother|signing-an-autograph|train-station|closeted-homosexual|face-slap|tour|one-word-title|aunt-niece-relationship|little-girl|stepfather|mother-daughter-relationship|interracial-couple|interracial-romance|audition|black-british|female-protagonist|female-singer|newspaper-headline|leaving-home|teenage-girl|18-year-old|welsh|wales|british|nightclub|orchestra|interracial-relationship|manager|bride|wedding|speaking-with-accent|microphone|hollywood-vanity-mirror|mirror|diva|travel|medium-format-camera|telephone-call|dressing-room|crying-woman|cigarette-smoking|train|europe|black-woman|singer|rolleiflex-camera|film-camera|cardiff-wales|based-on-true-story,"In 1938 mixed race baby Shirley Bassey, her mother and eight siblings are living in a poor area of Cardiff after her father is imprisoned for sexual offences. The teen-aged Shirley will help the family finances bringing her big, impassioned singing voice to local clubs and, in 1954, aged seventeen, she moves to London, impressing agent Mike Sullivan. To further her career however she must give up her illegitimate daughter Sharon to be raised as her own child by Shirley's sister Iris. After winning over the famously hostile Glasgow Empire audience Shirley has arrived. Impresario Jack Hylton stars her in the West End and she has hit records. She rides out gutter press interest in Sharon and, after a row with Mike, takes fledgling film producer Kenneth Hume as her agent and husband. Not only does he fail to further her career but he turns out to be a homosexual. Yet Shirley is a born survivor, weathering her divorce from Ken in 1965 and, decades later, still every inch a star, belting out the autobiographical song 'My Life'.",60,151,6.2
If Looks Could Kill,2016,Drama|Horror|Thriller,photographer|seduction|small-town|murder|manipulation|police|psychopath|based-on-true-story,"Based on true events, Faith is proud to finally be a cop in her hometown where she joins old flame Paul on the force. She is soon troubled and a bit disappointed when he becomes romantically involved with Jessica, a dangerous beauty with a criminal past. So when Jessica starts an affair with an impressionable young man, Faith must build a case against her before Jessica puts her deadly plans in place.",90,150,4.4
Heavenly Match,2014,Drama,competition|father-figure|dancing|dinner|fraud|contraband|party|theft|ritual|chores|gift,"When Reverend Casey Hart becomes a senior minister and falls for a fellow seminarian, David she may be able to finally get over her fear of failure.",88,150,5.1
Das Mädchen mit den Schwefelhölzern,2013,Family|Fantasy,competition|father-figure|boy|beating|corporal-punishment|bully|contraband|loyalty|scolding|fire|dream|gift|ghost|fairy-tale|match|orphanage|christmas,"Pre-teen foundling Emil and slightly older middle class orphan Inga seek to comfort each-other in the pitiful conditions at Mrs. Landfried's orphanage. She sells the shoes the produce in a Dickensian poorhouse workshop but keeps most profits, only ambitious eldest turned foreman Franz gets a bonus. For Christmas, the kids must sell I town the sets of matchsticks she bargained as bonus with the shoes, the winner gets a goose helping, sub)standard sale means a caning. After chasing the duo from the lucrative market, Frans wins and even gets to cane Emil, but lets him off with loud pretense. Inga ran away, dreaming in the rundown family home of her late parents welcoming her home whenever she strikes a match. Emil informs the homonymous friendly cop they met on the market, who sees the tyrant is replaced by a proper administrator.",59,150,7.2
Horizon,2013,Drama|Sci-Fi,paranormal-phenomena|psychotronic-film|alien,"Set during the height of World War II, Horizon centers on Lauren (Bradley), a secretary at the FBI who begins a secretive investigation into files that have been stamped with the codename ""horizon."" The mysterious project provides links to the presumed death of her husband and the disappearance of a young girl.",80,150,4.4
The Search for Life: The Drake Equation,2010,Documentary,drake-equation|outer-space|extraterrestrial-life|alien-life|space-exploration|planet|alien|science|car|town|usa|plot|writer|female-psychologist|game|swindle|cheat|fraud|cheating|bluff|double-cross|trick|murder|game-suspension|conning-people,"A look at the Drake equation, developed by Dr. Frank Drake as a way to think about the number of extraterrestrial civilizations in our galaxy that could exist and communicate with us.",59,150,7.2
Concrete Canyons,2010,Drama,missing-son|female-detective|reference-to-lord-of-the-rings|attempted-rape|father-son-estrangement|country-bumpkin|tracker|sheriff|fish-out-of-water,"In Greeley County, Colorado, the former Sheriff Ben Sloane is an efficient tracker that lives in an isolated cabin in the middle of the woods. After rescuing a young woman that has been abducted, Ben meets Sheriff Darryl Carter tells to him that his estranged son Nick is the prime suspect of killing his co-worker Raymond ""Ray"" Correlli. Ben heads to Chicago to meet the unfriendly Detective Susan Kincaid that does not help him. Soon Ben learns that Nick is married with Maggie and has a baby son; he worked in the Stetski Brothers Constructor and studied architecture at college. Ben also meets Nick's friend Danny Smalls that tells to him that his job was indicated by his professor Hoffman. Ben goes to the crime scene and finds that Nick did not kill Ray and the crime scene was modified and he suspects that the construction company is hiding something. Will Ben be capable to find tracks to prove the innocence of his son?",120,150,5.7
Coach,2009,Comedy|Drama|Romance,fight|rascal|kiss|face-slap|underwear|father-son-relationship|hugging|shower|briefs|prank|campfire|female-nudity|female-full-frontal-nudity,"Flippant Dutch saleswoman Susanne van Meeteren's latest ill-considered hobby project is a big brother/sister program. She starts by 'accidentally' picking a boy instead of a girls, and second generation Moroccan Soukri Eouzzani (16) is a very knavish rascal, peeping Tom and all, yet sensitive and artistic. Dad Brahim enrolled his garage heir to improve Soukri's Dutch language mastery. They soon get on well, and daughter Sofie in presses to tutor him in maths, his worst subject. Susanne convinces Shoukri to pursue his acting dream, but he dares not even ask his dad. When he's caught out in love with Sofie, her dad moves out. When Shoukri's dad finds out he left technical school, a tragic fight ensues.",80,150,6.8
Bound by a Secret,2009,Drama,argument-between-friends|job-offer|medical-treatment|family-secret,"Two lifelong friends must face personal drama when one of them learns she has cancer. They also have to make a decision about a ghost from the past: should they tell the child of one friend (Baxter), a suburb mom, that she is in fact the child of the other (Warren), a Broadway star.",90,150,6.1
Tiny Christmas,2017,Comedy|Family|Fantasy,cat|christmas|christmas-tree|christmas-decoration|elf|christmas-elf|north-pole|miniaturization|cousin-cousin-relationship|burping|walkie-talkie|friendship|litter-box|kitty-litter|555-phone-number|snow|snowfall|christmas-eve|drone|christmas-stocking|toy-train|clumsiness|the-end|christmas-present|opening-a-christmas-present|shrinking-ray,"When a clumsy elf accidentally shrinks two kids on Christmas Eve, they get scooped up into Santa's sack. When they are dropped off across the street, the tiny kids have to navigate holiday hazards to make it home safely.",66,149,4.6
Julius Caesar,2012,Drama,shakespeare's-julius-caesar|based-on-play,The growing ambition of Julius Caesar is a source of major concern to his close friend Brutus. Cassius persuades him to participate in his plot to assassinate Caesar but they have both sorely underestimated Mark Antony.,151,149,3.6
L'école du pouvoir,2009,Drama,career|ambition|student|1980s|assault|rape|conservatism|socialist|reference-to-francois-mitterrand|election-campaign|examination|internship|apprenticeship|elite|state-employee|elitism|year-1981|french-politics|public-administration|politics|1970s|female-nudity|male-nudity|suicide-by-hanging|male-frontal-nudity|male-rear-nudity|wood|connection|frustration|disappointment|coitus|youth,"A retelling in two parts, from 1977 to 1986, of the education and the rise to power of a group of young graduates of the prestigious ENA school.",125,149,7.6
Psycho Wedding Crasher,2017,Thriller,plan|three-word-title|caucasian|bride|wedding-gown|butcher-knife|knife,"Since she started working as a dressmaker for her Aunt Daisy, Jenna has seen dozens of brides getting happily married in her gorgeous wedding gowns. Jenna longs to have a white wedding of her own and to find a handsome man who will take her away from her abusive Aunt. When Jenna meets bride-to-be Marci and boyfriend Glenn, she realizes Glenn is the man of her dreams and now she will stop at nothing to have him all to herself and to make her dreams come true - even if she has to kill the bride.",89,148,4.8
Cinderella,2011,Family|Fantasy,competition|chores|dancing|dinner|fall|embarrassment|gift|punishment|party|contraband|escape|transformation|vandalism|fairy-tale,"Although mistreated by her cruel stepmother and stepsisters, Cinderella is able to attend the royal ball through the help of a fairy godmother.",59,148,6.4
Tales from the Royal Wardrobe,2014,Documentary|History,protocol|map|king-george-iv|playing-golf|clothing|inventory|shoe|obesity|queen-victoria|wardrobe|condemned-to-death|scandal|london-england|duke-of-windsor|hans-holbein|oliver-cromwell|warehouse|hat|veneration|public-execution|allegory|spurs|unbuttoned-shirt|doublet|whale-bone-corset|fabric|couturier|royal-family|queen-elizabeth-ii|portrait|historical-recreation|symbolism|hoop-skirt|king-henry-viii|historical-conservation|museum|archive|velvet|restoration|pair-of-gloves|underwear|reference-to-eton-college|reference-to-wallis-simpson|lady-in-waiting|auction|kensington-palace|royalty|coffee-table-book|reference-to-john-travolta|embroidery|couture|nobility|princess-diana|caricature|queen-elizabeth-i|fashion|reference-to-maureen-swanson,"Today, few people's clothes attract as much attention as the royal family, but this is not a modern-day paparazzi-inspired obsession. Historian Dr. Lucy Worsley, Chief Curator at Historic Royal Palaces reveals that it has always been this way. Exploring the royal wardrobes of our kings and queens over the last four hundred years, Lucy shows this isn't just a public fascination, but an important and powerful message from the monarchs. From Elizabeth I to the present Queen Elizabeth II, Lucy explains how the royal wardrobe's significance goes far beyond the cut and color of the clothing. Royal fashion is, and has always been regarded as a very personal statement to reflect their power over the reign. Most kings and queens have carefully choreographed every aspect of their wardrobe; for those who have not, there have sometimes been calamitous consequences. As much today as in the past, royal fashion is as much about politics as it is about elegant attire.",59,147,7.5
Kraftwerk - Pop Art,2013,Documentary,electronic-music|electro-music|band-history|music-band,"A documentary on the German band Kraftwerk, pioneers in electronic pop.",60,147,6.9
Suburban Swingers Club,2019,Drama,tied-feet|seductive-behavior|deep-cleavage|swinger-couple|love-triangle|cheating-wife|sex-scene|sexually-frustrated-woman|sex-with-neighbor|seductive-woman|seductress|open-marriage|cuckolded-husband|newly-wed-couple|cheating-husband|handcuffed-man|handcuffed-to-a-bed|marital-crisis|key-party|swinger-party|big-ass,"A young married couple makes a huge mistake by agreeing to participate in a secret swingers' party in their suburban neighborhood, and soon both of them are being targeted by a jealous and homicidal neighbor.",85,146,5.2
Linnan juhlat,2017,Comedy|Drama|History,road-movie|independence-day|philosophy|philosopher|lapland-finland|road-trip|runaway-bride|car-trouble|kilpisjarvi-finland|independence-day-celebration|taxi-driver,"The history of 100 year old Finlands told through philosopher Bruno which moved to Lapland to cure his writer's block. When invited to the great royal ball, he'll have to take a 1200 km road trip through Finland with taxi.",97,146,6.9
Die Informantin,2016,Crime|Thriller,bare-breasts|sex-scene|erotic-thriller|female-nudity|topless-female-nudity|strong-female-lead|law-student|undercover-informant|strong-female-character,"Aylin knows exactly how to affect men. She uses her sex appeal to fund her law studies in an unusual way. Because she only wants one thing: to become a lawyer. Because the risky act of luring men into hotel rooms and robbing them has gone completely wrong, imprisonment threatens. In her distress, drug prosecutor Jan surprisingly gives an offer that solves all the problems: if she helps as a decoy in the investigation of a drug smuggling ring, she does not have to go to jail - and more importantly, the criminal records are canceled. Therefore,she accepts the dangerous mission to approach the young clan chief Musab as a lover.",90,146,6.2
My Depression,2014,Documentary|Animation|Musical,f-rated,"A woman narrarates her story, portrayed in animated format, of her life with depression and the difficulties that come with it.",31,146,6.6
Sexy Wives Sinsations,2013,Comedy|Thriller,cult-director|mind-control|brainwashing|large-breasts|female-full-frontal-nudity|female-rear-nudity|female-frontal-nudity|breasts|buxom|undercover-cop|menage-a-trois|threesome|hot-tub|lesbian|lesbian-threesome|female-nudity|female-police-officer|sex-in-a-bathtub|sex-in-a-hot-tub|sex-with-a-nurse|sexploitation|sexploitation-film|sex-therapist|one-male-two-females-threesome|softcore|rear-entry-sex|sexy-cop|cult-comedy|busty-cop|sex-therapy|sex-clinic|sex-scene|male-nudity,"Sequel to the supercharged erotic thriller set in a sex clinic that features new doctors, new patients and new beauties who indulge in a series of smoldering encounters.",78,146,5.2
"I, Psychopath",2009,Documentary|Adventure|Drama|Thriller,psychotronic-film|diagnosis|mri|psychopath|narcissist|psychopathology|mental-health|mental-illness|self-discovery|anti-social-behavior|narcissism|codependent|abuse|intimate-relationship|psychological-test|personality-disorder,"Sam Vaknin, a twice-diagnosed narcissist, travels across Europe with his wife, Lidija Rangelovska and the Australian documentary film director Ian Walker in search of a diagnosis: is he also a psychopath? Numerous tests latest - PCL-R and MRI included - the answer is a definite maybe.",83,146,6.3
Joe & Caspar Hit the Road USA,2016,Documentary|Adventure|Comedy,sequel|roommate-roommate-relationship|road-trip|claim-in-title|male-name-in-title|flashback|london-england|feet-on-table|mockumentary|challenge|reference-to-j.k.-rowling|reference-to-harry-potter|airplane|film-crew|beach|cabriolet|road-movie|transmitter|high-five|scream|baptist-church|note|reading-out-loud|church|gospel|gospel-singing|gospel-singer|listening-to-music|reference-to-god|biblical-reference|musician|breaking-the-fourth-wall|singing-along|singing-lesson|lesson|street-performance|performance-singing|reference-to-the-holy-spirit|competition|failed-expectation|eating-competition|eating-contest|restaurant|spitting-a-drink|spitting-out-a-drink|male-vomiting|spilled-milk|flushing-a-toilet|male-male-hug|friend|friendship|best-friend|male-objectification|bare-chested-male|bare-butt|male-nudity|male-rear-nudity|crown|miss|framed-photograph|photograph|airport|buggy|spacesuit|space-station|workout|treadmill|obese-woman|overweight-woman|virtual-reality|task|gym-coach|obese-gym-coach|downpour|wet-clothes|male-male-kiss|telephone-call|hamburger|reference-to-nirvana|pushy-friend|vomiting-on-street|reference-to-josh-pieters|ranch|stallion-ranch|cow|bull|trainer|training|tinted-scene|homophobic-remark|rock-paper-scissors|horse|rancher|gag-reflex|rope|slow-motion-scene|spitting|rodeo|campfire|snake|rattle|rattlesnake|reference-to-alice-cooper|sausage|stadium|rugby|cheerleader|cheerleading|male-cheerleader|rehearsal|dance-lesson|punishment|dance-rehearsal|choreographer|flatulence|false-accusation|accusation|awkward-situation|performance|beauty-contest|dance-scene|male-to-female-cross-dressing|contest|repeated-scene|barefoot-male|camera-shot-of-feet|camera-shot-of-bare-feet|leg-injury|dummy|first-aid|kiss-of-life|lifeguard|leg-waxing|waxing-someone's-legs|legs-depilation|depilation|countdown|underwater-scene|crying-for-help|skinny-dipping|censored-nudity|sandcastle|wrapped-in-a-towel|man-wrapped-in-a-towel|homoeroticism|homoerotic|homoerotic-friendship|male-wrapped-in-a-towel|man-wears-a-wig|man-wears-flip-flops|man-wears-sunglasses|talking-to-the-camera|woman-wears-eyeglasses|wrongful-accusation|subjective-camera|costume|crossdressing|milk|horseback-riding|homophobia|youtuber|eating-a-snake|firework|gymnasium|new-mexico|video-blogger|tourist|new-orleans-louisiana|phoenix-arizona|california|south-african|texas|drinking-from-a-bottle|man-disguised-as-a-woman|man-dresses-as-a-woman|man-wears-a-swimsuit|man-wears-a-crop-top|man-wears-make-up|woman-wears-a-bikini|woman-wears-a-swimsuit|character-name-in-title,YouTube pranksters Joe Sugg and Caspar Lee embark on a hilarious and adventurous road trip across the United States.,83,145,5.9
Kill Hitler! The Luck of the Devil,2015,Documentary|History,reenactment,"When Hitler committed suicide in his bunker in Berlin, he managed to do what many others had tried to do for 20 years. This film explores how the fate of Europe and countless lives may have been very different if it hadn't been for the luck of the devil. Featured by XIVETV.",52,145,6.6
Freedom Flight,2013,Drama|History,airplane-hijacking|hijack|hijacking|hijacker|1950s|airplane-hijack|airplane|pilot,1956. Three Hungarian friends hijack a plane to escape from the Iron Curtain.,55,145,6.3
Carl & Bertha,2011,Drama|History,19th-century|character-names-as-title|child|pregnancy|forenames-as-title|three-word-title|man|woman|woman-driving|based-on-real-people|karl-benz|reference-to-karl-benz|automobile|based-on-real-person|lawsuit|litigation|dowry|patent|employee|employer|love|mother-daughter-relationship|son|daughter|pharmacy|pharmacist|garter|debt|carriage|telegram|investor|father-daughter-relationship|funeral|wedding|husband-wife-relationship|money|invention|inventor|year-1888|year-1886|1880s|year-1879|year-1870|1870s|driving-a-car|driving|car|based-on-true-story,"The biopic film follows visionary Inventor Carl Benz, who invented the first car and was the founding father of Mercedes-Benz.",90,145,6.7
Olycksfågeln,2010,Crime,part-of-series|based-on-novel,"The Stranger - two children are taken, A new officer joins the team, a young girl is strangled and a death via traffic accident turns out to be more. In the meantime, Patrick and Erica plan a wedding.",116,145,5.9
Potpisani 04 - Paja Shishkebab,2013,Comedy|War,potpisani|parody,"Belgrade, 1942. Gestapo arrests the wrong man so Partisan's headquarters gives the wrong task to the small operative group to release the wrong man. The wrong task goes past them mistakenly by chance, letting itself to be done by someone or something else. The wrong man is released in their name but without their knowledge. How? Mistakenly or not?",45,144,9.7
Potpisani 03 - Voz,2010,Comedy|War,world-war-two|potpisani|parody|otpisani,"Belgrade, 1942. As the war heats up, the high command thinks that the destruction of a German train is crucial in this situation, and presents this task to a small Belgrade partisan group, which easily manages to wipe out the train, but not the one that everyone expects.",53,144,9.4
The Hunt for Bin Laden,2012,Documentary,war-on-terror|reference-to-the-world-trade-center|terrorism|terrorist,"Witness the 20-year, billion-dollar hunt for the Al-Qaeda leader, as told by the main players who finally brought him down.",90,144,6.9
Die zertanzten Schuhe,2011,Family|Fantasy,fairy-tale,"King Karl is desperate. His twelve daughters hold secrets from him. Every morning their dancing shoes have holes in their soles. Only Amanda's shoes don't have holes. A lot of princes already tried to unveil their secrets, but didn't succeed and ended at the gallows. Soldier and puppeteer Anton falls in love with Princess Amanda the first time he sees her. He isn't easily scared off and tries to get behind the princesses's secrets. He gets help from a strange old woman.",58,144,6.2
1989 - A Spy Story,2019,Drama|Romance|Thriller,german-reunification|year-1989|female-double-agent|cold-war|american-abroad,"Due to the fall of the Berlin Wall, a double agent is targeted by the American foreign intelligence service CIA.",120,143,6.9
I Didn't Kill My Sister,2016,Crime|Drama|Thriller,mother|newscaster|father|daughter|sister|aunt|lawyer|therapist|swimming-pool|drugged|murder|homicide|homicide-detective|video-tape|camera|gambling|casino-chip|bedroom|wine|wine-glass|garden|production-assistant|restricted-access|brother-in-law,A woman is the prime suspect in the mysterious drowning death of her anchorwoman sister.,90,143,4.9
"20 Lies, 4 Parents and a Little Egg",2013,Comedy|Romance,15-year-old|drunkenness|mother-son-relationship|kiss|lesbian-relationship|gay-relationship|lesbian-couple|gay-couple|sperm-bank|hospital|netherlands|biological-father|lesbian-interest|family-relationships|teenage-boy|lesbian|lesbian-mother|gay-father|gay|first-kiss|paramedic|drunk|school|photography|singing|accident|band|guitar|sperm-donor|gay-parent|number-in-title,"The story of couple Sjors and Bert, who are abruptly introduced to the 15 year old Dylan. He happens to be Sjors' son, a fact Sjors forgot. Dylan is evicted by his mother and her girl friend. From that moment on, the lives of Sjors and Bert are turned upside down. A film about lively adolescents and infantile parents and their incompetence.",78,143,6.5
The Music in Me,2015,Drama|Music|Romance,choir|singing|church-choir|choir-director|chores|embarrassment|medical-examination|party|sabotage|ritual|church|family-business|sacrifice|viral-video|daughter|heart-attack|homeless-girl|homelessness|100th-anniversary|hardware-store|female-singer,"A singer/songwriter leaves her dreams behind to help her family, until one special guy and a group of musically-challenged strangers help her find her voice again.",87,142,5.7
Little Lady,2012,Family,foreign-language-adaptation|based-on-novel,A poor New York girl learns that she is an Austrian heir.,99,142,5.1
Slavery by Another Name,2012,Documentary|History,13th-amendment|14th-amendment|15th-amendment|abolition|slavery|slave-labor|compulsion|injustice|immigrant|poverty|civil-liberties|presidential-pardon|whitewash|reference-to-franklin-d.-roosevelt|reference-to-theodore-roosevelt|reference-to-andrew-johnson|involuntary-servitude|forced-labor|share-cropping|peonage|indentured-servitude|debt|reference-to-plessy-v.-ferguson|power|subordination|racial-segregation|working-to-death|lynching|brutality|abuse|anti-labor-union|chattel-slavery|railroad|coal-mining|chain-gang|economic-exploitation|mortality|child-labor|corporal-punishment|beating|whipping|mental-abuse|exploitation-of-labor|industrialist|industrialization|capitalism|profiteering|convict-leasing|imprisonment|american-civil-war|world-war-two|1940s|1930s|1920s|1900s|1890s|1880s|1870s|1860s|southern-reconstruction|dignity|aristocracy|servitude|politics|autonomy|independence|freedom|emancipation|exploitation|structural-racism|racism|jim-crow|confederate-states-of-america|southern-u.s.|post-civil-war,A documentary that recounts the many ways in which American slavery persisted as a practice many decades after its supposed abolition.,90,142,7.7
Bruno & Boots: The Wizzle War,2017,Family,overalls,A new teaching system arrives at the hall and the boys hate it and and try to get rid of it in secret. Bruno's plans never turn out the way they planned so guess who had another plan. The system only holds double digits so once you reach a certain amount something happens. The boys can't figure it out until later in the movie but Bruno finds out what happens.,90,141,5.2
Lolita from Interstellar Space,2014,Comedy|Sci-Fi,lolita|hot|panties|nurse-hat|nurse-outfit|nurse-uniform|softcore|sex-with-nurse|alien-as-woman|nudity|male-nudity|female-nudity,A lovely alien co-ed is sent to Earth to study human mating rituals in this steamy erotic fantasy.,81,141,4.0
"Le jeûne, une nouvelle thérapie?",2012,Documentary,cancer|medication|fasting|clinical-study|abstinence|starving|penguin|euphoria|hormones|pharmaceutical-industry|healing-process|self-healing|research|metabolism|physiology|therapeutic-fasting|cure|health-policy|f-rated|siberia|lent,"While life expectancy is increasing in Western countries, cases of diabetes, hypertension, obesity and cancer are increasing, and the use of medication has exploded. Does this mean that in order to live to a ripe age we are condemned to swallow more and more drugs? What if there was another way? For half a century, in Russia, Germany and the U.S., doctors and biologists have been exploring a different therapeutic approach: fasting.The results are amazing. Soviet researchers have provided a body of clinical studies of exceptional wealth ...only published in Russian, and thus unknown in the West. Young biologists from the University of Los Angeles have overturned conventional wisdom and used molecular biology to demonstrate the powerful effects of fasting. These researches suggest a wide-ranging potential, which could include treatments for the disease of the century, cancer. If these scientists are right, maybe our approach to disease and treatment will need a rethink.",55,141,8.2
Next Stop Murder,2010,Drama|Horror|Thriller,bus|murder|stranger|heart-pendant|false-alibi|bus-passenger|murderer|remake,"A woman discusses her family problems with a stranger she meets on a bus, but is horrified when her confidante suggests each of them kill the person making the other's life difficult.",90,141,4.4
The Wrong Cruise,2018,Thriller,tied-feet|ship|captive|flashback-sequence|murder|con-artist|mexico|fugitive,"A mother and teenage daughter go on a cruise. However, information about her wealth was hacked when buying the tickets on internet. They're abducted at first port of call in Mexico.",89,140,4.9
Das Leben Danach,2017,Drama,woman|survivor|21th-century|2010s|germany|f-rated,"Tells the story of Antonia(Jella Haase), who survived the 2010 Love Parade tragedy in Duisburg and how she is dealing with her life after the incident in which 21 people lost their life and more than 500 got injured.",90,140,6.0
Die kluge Bauerntochter,2009,Family|Fantasy,abuse|beating|dinner|poison|contraband|prison|theft|trial|torture|gift|fairy-tale,"A young, bored king will lose his throne to his married nephew unless he weds before reaching thirty. To his mother's despair, the king has no interest in the suitors she has parading for twelve years, only caring for astronomy. A landless farmer's daughter cunningly abuses this passion to attract royal attention and successfully ask for land the family can farm. Having found a golden mortar on it, the honest father brings it to his majesty, but is jailed, suspected of holding back a golden pestle. The daughter gets him freed by winning a riddle dare, with the unsolicited extra price of became the royal fiancee. That ill-considered engagement is easily compromised by challenging the king's misrule on an absurd foal claim.",59,140,6.6
Trust,2009,Crime|Drama|Mystery,one-word-title,An artist must decide whom to trust when she receives messages from an unknown source claiming her husband is having an affair.,90,140,5.6
Hidden Killers of the Tudor Home,2015,History,f-rated,The introduction of world trade in Tudor England inadvertently introduces foreign poisonous substances. One such case is sugar and the subsequent rotting of teeth.,60,139,8.0
Heat Wave,2009,Drama|Thriller,cult-film|desert|benefactor|loud-shirt|sunglasses|standing-in-the-rain|dancing-in-the-rain|kissing-in-the-rain|heavy-rain|thunderstorm|explosion|car-trouble|count-down|firefighter|race-against-time|rain-machine|driving-through-fire|drone|rainmaker|dry-ice|heat-stroke|disaster|power-blackout|shot-in-the-arm|natural-disaster|vending-machine|drilling-site|brush-fire|fire-truck|lab-coat|lab-room|wildfire|cgi|state-governor|sleeping-on-the-job|redhead|climatologist|englishman-abroad|beach|climatology|stock-footage|exploding-building|abandoned-building|babe-scientist|los-angeles-california|heat-wave,"When a sudden, unexplained rise in local temperatures threatens to turn the whole of Los Angeles county into a parched, lifeless desert, a scientist must put her theories into practice and discover both the source of the climate crisis and a solution before it's too late.",74,139,3.4
Psycho Stripper,2019,Thriller,psychotronic-film,"A week before her wedding, beautiful dance studio instructor Amber Clarke suddenly finds herself the obsession of Hunter, the brooding, sexy, exotic male dancer from her bachelorette party, who is harboring a very dark vendetta and will stop at nothing to keep Amber from tying the knot.",80,138,4.8
A Father's Nightmare,2018,Thriller,psychotronic-film|gymnastics|beam|leotard|barefoot-woman,"A vindictive and psychotic new roommate attempts to convince an innocent college freshman to commit suicide by slowly destroying her life through the means of drugs, paranoia, and manipulation.",85,138,5.5
Silent Night,2012,Biography|Drama|Music,catholic-priest|cold-weather|december|composer|cold|winter|snow|hymn|roman-catholic-church|german-culture|southern-germany,"The powerful true story behind the most popular Christmas carol of all time. In 1818, when Joseph Mohr is assigned to be the new assistant priest in Oberndorf, a small Austrian town near Salzburg, the young man is full of ideas and ideals. His passion to bring the church closer to the common people sets him on a collision course with his superior, Father Noestler. When Mohr organizes a church choir that includes outcasts from the local tavern and performs in German instead of Latin, Noestler threatens him with disciplinary action. The night before Christmas, Mohr has to decide if he will accept defeat and leave Oberndorf or embrace the true significance of the Holy Night.",95,138,7.1
Sexy Wives Sindrome,2011,Comedy|Drama|Fantasy,sex-in-a-bathtub|male-full-rear-nudity|lesbian-sex|role-play|large-breasts|doggystyle-sex|erotica|male-nudity|female-nudity|softcore|sex,A doctor at a clinic where erotic role-playing is used to save troubled marriages gets turned on by his patients' sizzling fantasies.,78,138,4.6
Lombardi,2010,Documentary,legendary-hero|sports-history|interview|coach|professional-football,A documentary based on the football legend Vince Lombardi who took the Green Bay Packers to 2 straight Super Bowl Victories.,90,138,8.2
Cleavagefield,2009,Comedy|Horror,big-breasts|breasts|big-breast|breast|bikini|braless|sex-scene|panties|thong|breast-fondling|topless|outdoor-sex|kissing|sex-in-bed|doggystyle-sex|bare-breasts|lesbianism|female-nudity|nudity|beach|softcore,A softcore parody of the monster flick Cloverfield.,77,138,4.0
Der gestiefelte Kater,2009,Family|Fantasy|Romance,adolescent|bare-chested-male|brother-brother-relationship|father-son-relationship|disguise|bully|gift|public-humiliation|undressing|male-nudity|escape|transformation|dare|fairy-tale,"On his deathbed, miller Hinze, fallen victim to the cruel sorcerer Abbadon who terrorizes the whole region, bequeaths his goods to his sons. Hermann and Hubert get half of the mill each, only last-born Hans gets just the tomcat Minkus. However the feline speaks, transforms into a dashing knight and promises, if fitted with new boots, to turn Hans's fate for the better. Once attired, he sets out to the court of idle king Otto and his daughter Frieda. Fowl gifts win heir favor, and soon an invitation for his master, under the name of marques of Carabass. Hans, clearly more interested in the princess then in gold, is coached to fit the part, while the cat takes o the sorcerer in his castle by crafty magical dare.",59,138,6.4
Gravity and Me: The Force That Shapes Our Lives,2017,Documentary,air-resistance|reference-to-galileo-galilei|archival-footage|hammer|feather|acceleration-due-to-gravity|bell-ringing|experiment|falling-apple|herstmonceux-castle|vaccuum-chamber|gravity-meter|dumbell|two|snowdon-mountain|reference-to-isaac-newton|cordless-drill|spinning|earth-from-space|satellite|laser|reference-to-henry-cavendish|torsion-balance|mass-of-the-earth|posture|dartmoor-national-park|sidmouth-england|granite|surface-tension|weightless|reference-to-albert-einstein|beetle|refracting-telescope|black-hole|gravitational-wave|mirror|silaca-fiber|time-dilation,"Professor Jim Al-Khalili investigates the science of gravity, recreating ground-breaking scientific experiments including the moment when Galileo first discovered how to measure gravity.",90,137,7.9
RiffTrax Live: Sharknado 2,2015,Comedy,shark-attack|airplane|parody-of-cult-film|new-york|today,Watch as the amazing comedians from Mystery Science Theater 3000 (1988) tear apart the awe-inspiring masterpiece that is Sharknado 2: The Second One (2014),107,137,6.8
Russian Yeti: The Killer Lives,2014,Horror,bigfoot,"Fictional documentary on the deaths of students in the Russian mountains, attributed to the yeti.",86,137,5.0
